id,topic1,지자체,년도,A4_1_1_초중학교숙달수준비율,A4_1_2_초중고완수율,A4_2_1_정상발달아동비율,A4_2_2_조직화학습참여비율,A4_3_1_교육훈련참여비율,A4_4_1_ICT능력보유비율,A4_5_1_교육형평지수,A4_6_1_언어수리역량도달비율,A4_7_1_세계시민교육주류화,A4_a_1_기본서비스학교비율,A4_b_1_장학금ODA금액,A4_c_1_자격교사비율
,,,,데이터출처 URL ,,,https://www.jbedu.kr/board/view.jbedu?boardId=BBS_0000112&menuCd=DOM_000000506003001000&startPage=1&dataSid=862541,,,,,,https://www.jbedu.kr/board/view.jbedu?boardId=BBS_0000112&menuCd=DOM_000000506003001000&paging=ok&startPage=2&dataSid=793093,https://www.odakorea.go.kr/static/main/main_03.PDF,
,,,,지표명과 수집한 데이터가 유사한 성격인 경우 수집후 추가설명,예: '빈곤선인구비율' 대신 '빈곤선인구수'를 수집한 경우 해당 내용을 기록함 ,,사교육참여율,,,,,,교실수,"2024
ODA 총사업 예산","교원수(유치원, 초등학교, 중학교, 고등학교)"
,,전라북도,2012,,,,62%,,,,,,,,
,,전라북도,2013,,,,59.90%,,,,,,,,19100
,,전라북도,2014,,,,59.40%,,,,,,,,18803
,,전라북도,2015,,,,60.60%,,,,,,375301,,18913
,,전라북도,2016,,,,60.90%,0.19%,,,,,375843,,18825
,,전라북도,2017,,,,64.60%,0.26%,,,,,377178,,18871
,,전라북도,2018,,,,65.50%,0.24%,,,,,378430,,18867
,,전라북도,2019,,,,68.30%,0.19%,,,,,380015,,18922
,,전라북도,2020,,,,62.80%,0.11%,,,,,381424,,19024
,,전라북도,2021,,,,69.80%,,,,,,382328,,19111
,,전라북도,2022,,,,70.80%,,,,,,383363,,19176
,,전라북도,2023,,,,69.80%,,,,,,,,18925
,,,,,,,,,,,,,,11.39(억),
,,,,,,,,,,,,,,2024 ODA 예산,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,https://www.jbe.go.kr/open/index.jbe?menuCd=DOM_000001006001000000&cpath=,,,,,,,,,,,