id,topic1,지자체,년도,A6_1_1_식수서비스접근비율,A6_2_1_위생서비스이용비율,A6_3_1_폐수처리비율,A6_3_2_수질양호수계비율,A6_4_1_물이용효율성변화,A6_4_2_물스트레스수준,A6_5_1_수자원관리이행정도,A6_5_2_물협력운영비율,A6_6_1_물생태계변화,A6_a_1_물위생ODA금액
,,,,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL20741&conn_path=D9&vw_cd=MT_GTITLE01,,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL20751&conn_path=D9&vw_cd=MT_GTITLE01,,,,,,,
,,,,지표명과 수집한 데이터가 유사한 성격인 경우 수집후 추가설명,예: '빈곤선인구비율' 대신 '빈곤선인구수'를 수집한 경우 해당 내용을 기록함 ,,,,,,,,
,,전라북도,2012,92.70%,,83.00%,,,,,,,
,,전라북도,2013,93.80%,,84.10%,,,,,,,
,,전라북도,2014,95.00%,,85.10%,,,,,,,
,,전라북도,2015,95.60%,,85.90%,,,,,,,
,,전라북도,2016,95.90%,,86.50%,,,,,,,
,,전라북도,2017,96.70%,,87.10%,,,,,,,
,,전라북도,2018,97.10%,,88.00%,,,,,,,
,,전라북도,2019,97.40%,,89.20%,,,,,,,
,,전라북도,2020,97.70%,,89.70%,,,,,,,
,,전라북도,2021,98.00%,,90.50%,,,,,,,
,,전라북도,2022,98.20%,,91.70%,,,,,,,
,,전라북도,2023,,,,,,,,,,