id,topic1,지자체,년도,A10_1_1_소득점유율,A10_2_1_중간계층성장률,A10_3_1_이민정책체계,A10_4_1_모든사람동등법률여부,A10_5_1_차별폭력피해신고율
,,,,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1C96&conn_path=I2,,https://kosis.kr/statHtml/statHtml.do?orgId=110&tblId=DT_110025_A040_A&conn_path=I2,,
,,,,시도별 1인당 개인소득 : 천원,,시군구별 국적취득 경과 기간별 외국인 주민현황,,
,,전라북도,2012,,,,,
,,전라북도,2013,,,,,
,,전라북도,2014,,,,,
,,전라북도,2015,17500,,,,
,,전라북도,2016,17670,,4800,,
,,전라북도,2017,18298,,5083,,
,,전라북도,2018,19302,,5227,,
,,전라북도,2019,20271,,5595,,
,,전라북도,2020,21444,,5945,,
,,전라북도,2021,22029,,6272,,
,,전라북도,2022,23633,,6777,,
,,전라북도,2023,,,,,