id,topic1,지자체,년도,A14_1_1_연안해양보호구역비율,A14_2_1_해양오염감소율,A14_3_1_해양자원관리정책존재여부,A14_4_1_지속가능어업비율,A14_5_1_해양산림면적보존비율,A14_6_1_해양보호구역관리비율,A14_a_1_해양보호지원금액
,,,,https://www.mof.go.kr/statPortal/cate/partStat.do,https://www.kcg.go.kr/kcg/na/ntt/selectNttInfo.do?nttSn=42639,,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1EW0001&conn_path=I2,,https://www.mof.go.kr/statPortal/cate/statView.do,https://badabom.go.kr/pjt/rndco/loc/view.do
,,,,연안습지면적현황,,,어업생산동향 생산량:계,,해양보호구역 지정 현황,해양수산 연구개발 예산
,,전라북도,2012,,,,,,,
,,전라북도,2013,,,,,,,
,,전라북도,2014,,,,,,,
,,전라북도,2015,,,,43763.2343,,0,
,,전라북도,2016,,,,62261.97658,,0,
,,전라북도,2017,,,,79206.00723,,0,2636750000
,,전라북도,2018,110.5,,,77825.58338,,0,2029300000
,,전라북도,2019,,,,82664.04193,,0,3126380000
,,전라북도,2020,,,,87189.85018,,0,3800720000
,,전라북도,2021,,,,88519.67204,,0,4430917000
,,전라북도,2022,,0.17,,81095.41754,,0,8024818000
,,전라북도,2023,108.42,,,67125.52057,,0,