id,topic1,지자체,년도,A16_1_1_폭력사망률,A16_2_1_폭력범죄발생률,A16_3_1_공공정보접근성지수,A16_4_1_사법제도공정성지수,A16_5_1_아동학대방지법률존재여부,A16_6_1_인권침해방지법률존재여부,A16_7_1_법률서비스접근성비율,A16_a_1_인권증진지원금액,A16_b_1_폭력방지기술보급률
,,,,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL20321&conn_path=D9&vw_cd=MT_GTITLE01,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL20321&conn_path=D9&vw_cd=MT_GTITLE01,,,https://kosis.kr/statHtml/statHtml.do?orgId=117&tblId=DT_117064_A005&vw_cd=MT_ZTITLE&list_id=117_11764_00B&seqNo=&lang_mode=ko&language=kor&obj_var_id=&itm_id=&conn_path=MT_ZTITLE,,,,
,,,,강력범죄(살인기수) 발생건수,폭력범죄 발생건수,,,아동학대사례 건수,,,,
,,전라북도,2012,,,,,,,,,
,,전라북도,2013,,,,,,,,,
,,전라북도,2014,,,,,,,,,
,,전라북도,2015,10,9471,,,,,,,
,,전라북도,2016,9,9160,,,,,,,
,,전라북도,2017,9,8844,,,,,,,
,,전라북도,2018,12,8742,,,1580,,,,
,,전라북도,2019,19,8679,,,1720,,,,
,,전라북도,2020,13,8461,,,2086,,,,
,,전라북도,2021,14,7380,,,1937,,,,
,,전라북도,2022,15,7034,,,1356,,,,
,,전라북도,2023,,,,,,,,,