id,topic1,지자체,년도,A17_1_1_개발원조금액,A17_2_1_무역원조금액,A17_3_1_직접투자유입금액,A17_4_1_기술협력활동참여비율,A17_5_1_지속가능개발기금참여율,A17_6_1_글로벌거버넌스참여율,A17_a_1_개발재정지원확보비율,A17_b_1_정보통신기술개발지원비율
,,,,,https://kosis.kr/statHtml/statHtml.do?orgId=134&tblId=DT_134006_N015&conn_path=I2,,,,,,
,,,,,,,,,,,
,,전라북도,2012,,,,,,,,
,,전라북도,2013,,,,,,,,
,,전라북도,2014,,,,,,,,
,,전라북도,2015,,,,,,,,
,,전라북도,2016,,-5.298,,,,,,
,,전라북도,2017,,0.035,,,,,,
,,전라북도,2018,,0.264,,,,,,
,,전라북도,2019,,-0.215,,,,,,
,,전라북도,2020,,-0.127,,,,,,
,,전라북도,2021,,1.5,,,,,,
,,전라북도,2022,,0.937,,,,,,
,,전라북도,2023,,,,,,,,